Wavelength,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
9.699321048,0.00127984,0.00127984,-0.00167979,0.00015998,-0.0004045,-0.0002427,0,0.809
9.708737864,0.00104351,-0.00016054,0.00096324,0.00056189,-0.00072828,0.00056644,0,0.8092
9.718172983,0.00072522,-0.00064464,0.00338436,0.00064464,-0.0012132,0.00024264,0,0.8088
9.727626459,0.00048534,-0.00064712,0.00145602,0.00056623,-0.00105027,-0.0008079,0,0.8079
9.737098345,8.12E-05,-0.000406,-0.0021924,0.0012992,8.08E-05,-0.00048456,0,0.8076
9.746588694,-8.15E-05,0.00138601,-0.00285355,0.00122295,0.0004041,0.00056574,0,0.8082
9.756097561,0.0008192,0.00212992,0.0004096,0.00049152,0.00016168,0.00064672,0,0.8084
9.765625,0.00172893,0.00065864,0.00419883,0.00049398,0.00016156,0.00048468,0,0.8078
9.775171065,0.00148896,0.00057904,0.00405328,0.00033088,0.0001615,0.00121125,0,0.8075
9.784735812,0.00049842,0.00157833,0.00041535,8.31E-05,8.08E-05,0.00226268,0,0.8081
9.794319295,-0.00033368,0.00158498,-0.0020855,0.00066736,8.09E-05,0.00258848,0,0.8089
9.803921569,-0.00033504,0.00108888,-0.00134016,0.00117264,0.00024267,0.00194136,0,0.8089
9.813542689,-0.00042045,-0.00016818,0.00067272,0.00117726,0.00016174,0.00113218,0,0.8087
9.823182711,-0.00016882,-0.00042205,0.00025323,0.00025323,0,0.00072864,0,0.8096
9.832841691,0.0013552,8.47E-05,-0.002541,-0.000847,0.00048648,0.00137836,0,0.8108
9.842519685,0.0016986,-0.00059451,-0.00407664,-0.00042465,0.00146016,0.00170352,0,0.8112
9.852216749,0.00034044,-0.00059577,-0.00187242,8.51E-05,0.0008921,0.0006488,0,0.811
9.861932939,0.00059689,8.53E-05,0.00221702,-0.00102324,-0.00024351,-8.12E-05,0,0.8117
9.871668312,0.0012807,0.00076842,0.0038421,-0.0021345,-0.00016266,0.00056931,0,0.8133
9.881422925,0.00076878,0.0017084,0.0012813,-0.0012813,-8.15E-05,0.0012219,1e-323,0.8146
9.891196835,0.00034172,0.00102516,-0.00239204,0,-0.00016304,0.00032608,4.11e-321,0.8152
9.900990099,0.0008537,0.00017074,-0.00273184,0.00051222,0.00032644,0.00016322,1.463334e-318,0.8161
9.910802775,0.00119336,0.0004262,0.00076716,0.00051144,0.00065392,0.00147132,5.1520161e-316,0.8174
9.920634921,0.0008508,0.00093588,0.0034032,0.0004254,0.0006548,0.0018007,1.7915049282e-313,0.8185
9.930486594,0.00059402,0.00161234,0.0021215,0.00093346,0.00131024,0.00147402,6.1483031484435e-311,0.8189
9.940357853,0,0.00109993,-0.00059227,0.00194603,0.002048,0.00057344,0.00E+00,0.8192
9.950248756,-8.43E-05,0.00016862,-0.00118034,0.00244499,0.001804,-0.000492,6.98E-306,0.82
9.960159363,0.00075564,0.00025188,0.00092356,0.00235088,0.0011487,-0.00090255,2.31E-303,0.8205
9.970089731,0.00066872,0.00050154,0.00342719,0.0016718,0.00114842,-0.00090233,7.53E-301,0.8203
9.98003992,0.00016642,0.00091531,0.0033284,0.00058247,0.00155819,-0.0008201,2.42E-298,0.8201
9.99000999,-8.28E-05,0.0018216,0.0004968,-0.0001656,0.001148,8.20E-05,7.70E-296,0.82
10,-0.00074142,0.00156522,-0.00131808,-0.00024714,0.00049176,0.00106548,2.42E-293,0.8196
10.01001001,-0.00065544,0.00057351,0.00040965,0.00016386,0.00139145,0.00090035,7.47E-291,0.8185
10.02004008,8.15E-05,0.00024447,0.00260768,0.00048894,0.00286055,0.00057211,2.28E-288,0.8173
10.03009027,0.00024318,0.0004053,0.00194544,0.00032424,0.00334765,0.00057155,6.87E-286,0.8165
10.04016064,-0.00072594,0.00048396,-0.00096792,8.07E-05,0.00285355,0.00048918,2.04E-283,0.8153
10.05025126,-0.00224728,0.00056182,-0.00304988,0.00016052,0.00227668,-0.00056917,5.97E-281,0.8131
10.06036217,-0.0023171,0.0011186,-0.0016779,0.0008789,0.00186484,-0.00154052,1.72E-278,0.8108
